101,4.10E-05
101,3.95E-05
101,9.96E-05
101,5.22E-05
101,7.57E-05
101,9.33E-05
101,8.23E-05
101,4.17E-05
101,4.83E-05
101,4.92E-05
101,4.32E-05
101,6.61E-05
101,7.91E-05
101,3.54E-05
101,8.60E-05
101,5.12E-05
101,4.44E-05
101,9.60E-05
101,7.35E-05
101,4.53E-05
101,6.82E-05
101,6.52E-05
101,0.000117273
101,4.75E-05
101,4.88E-05
101,8.12E-05
101,4.26E-05
101,5.87E-05
101,7.54E-05
101,4.30E-05
101,6.65E-05
101,7.67E-05
101,7.57E-05
101,4.11E-05
101,5.16E-05
101,5.32E-05
101,4.54E-05
101,4.56E-05
101,4.69E-05
101,5.82E-05
101,4.67E-05
101,4.36E-05
101,5.94E-05
101,7.43E-05
101,5.01E-05
101,6.94E-05
101,9.28E-05
101,5.08E-05
101,5.30E-05
101,4.77E-05
146,5.82E-05
146,6.07E-05
146,4.44E-05
146,3.91E-05
146,4.10E-05
146,3.59E-05
146,3.41E-05
146,6.47E-05
146,7.23E-05
146,7.02E-05
146,3.36E-05
146,6.37E-05
146,5.62E-05
146,6.79E-05
146,5.48E-05
146,4.62E-05
146,3.72E-05
146,4.76E-05
146,3.84E-05
146,4.12E-05
146,3.37E-05
146,3.68E-05
146,7.70E-05
146,8.73E-05
146,4.00E-05
146,5.04E-05
146,6.91E-05
146,4.95E-05
146,3.54E-05
146,4.61E-05
146,4.87E-05
146,3.35E-05
146,5.02E-05
146,4.11E-05
146,8.12E-05
146,6.92E-05
146,5.25E-05
146,3.93E-05
146,3.42E-05
146,4.39E-05
146,3.50E-05
146,6.34E-05
146,3.87E-05
146,5.94E-05
146,3.45E-05
146,3.60E-05
146,4.28E-05
146,3.75E-05
146,4.11E-05
146,0.000126562
199,5.81E-05
199,3.34E-05
199,5.78E-05
199,3.48E-05
199,4.53E-05
199,3.62E-05
199,3.40E-05
199,3.31E-05
199,3.31E-05
199,3.33E-05
199,3.39E-05
199,4.36E-05
199,4.28E-05
199,8.26E-05
199,3.46E-05
199,3.41E-05
199,3.44E-05
199,4.98E-05
199,5.50E-05
199,3.43E-05
199,3.35E-05
199,4.46E-05
199,3.57E-05
199,5.81E-05
199,3.40E-05
199,3.59E-05
199,3.32E-05
199,3.33E-05
199,3.38E-05
199,4.63E-05
199,3.57E-05
199,3.37E-05
199,3.43E-05
199,3.61E-05
199,4.30E-05
199,3.41E-05
199,3.37E-05
199,3.67E-05
199,3.34E-05
199,5.76E-05
199,3.36E-05
199,3.34E-05
199,6.05E-05
199,3.47E-05
199,6.04E-05
199,3.34E-05
199,3.43E-05
199,3.44E-05
199,3.32E-05
199,3.46E-05
260,3.32E-05
260,3.82E-05
260,3.32E-05
260,3.44E-05
260,3.32E-05
260,3.85E-05
260,3.61E-05
260,3.33E-05
260,3.40E-05
260,3.31E-05
260,3.67E-05
260,4.91E-05
260,3.31E-05
260,3.74E-05
260,3.39E-05
260,3.36E-05
260,3.33E-05
260,4.21E-05
260,3.72E-05
260,3.38E-05
260,3.39E-05
260,3.36E-05
260,3.31E-05
260,3.45E-05
260,4.07E-05
260,3.82E-05
260,3.39E-05
260,3.67E-05
260,3.33E-05
260,3.34E-05
260,3.32E-05
260,3.48E-05
260,3.48E-05
260,3.37E-05
260,4.68E-05
260,4.04E-05
260,3.41E-05
260,3.80E-05
260,3.40E-05
260,3.67E-05
260,3.39E-05
260,3.36E-05
260,3.49E-05
260,3.43E-05
260,4.51E-05
260,3.35E-05
260,3.70E-05
260,3.32E-05
260,3.39E-05
260,3.32E-05
329,3.37E-05
329,3.32E-05
329,3.38E-05
329,3.34E-05
329,3.33E-05
329,3.39E-05
329,3.88E-05
329,3.36E-05
329,3.34E-05
329,3.33E-05
329,3.35E-05
329,3.42E-05
329,3.33E-05
329,3.33E-05
329,3.37E-05
329,3.38E-05
329,3.38E-05
329,3.38E-05
329,3.33E-05
329,3.31E-05
329,3.34E-05
329,3.47E-05
329,3.61E-05
329,3.65E-05
329,3.33E-05
329,3.44E-05
329,3.36E-05
329,3.43E-05
329,3.34E-05
329,3.37E-05
329,3.62E-05
329,3.32E-05
329,3.34E-05
329,3.30E-05
329,3.38E-05
329,3.42E-05
329,3.39E-05
329,3.31E-05
329,3.48E-05
329,3.37E-05
329,3.34E-05
329,3.33E-05
329,3.33E-05
329,3.31E-05
329,3.46E-05
329,3.39E-05
329,3.34E-05
329,4.22E-05
329,3.31E-05
329,0.002887548
406,3.31E-05
406,3.33E-05
406,3.31E-05
406,3.31E-05
406,3.36E-05
406,3.33E-05
406,3.34E-05
406,3.31E-05
406,3.30E-05
406,3.31E-05
406,3.31E-05
406,3.32E-05
406,3.33E-05
406,3.49E-05
406,3.37E-05
406,3.34E-05
406,3.33E-05
406,3.32E-05
406,3.31E-05
406,3.32E-05
406,3.32E-05
406,3.34E-05
406,3.32E-05
406,3.42E-05
406,3.36E-05
406,3.31E-05
406,3.33E-05
406,3.39E-05
406,3.32E-05
406,3.33E-05
406,3.36E-05
406,3.32E-05
406,3.35E-05
406,3.65E-05
406,3.52E-05
406,3.32E-05
406,3.41E-05
406,3.53E-05
406,3.32E-05
406,3.34E-05
406,3.35E-05
406,3.37E-05
406,3.32E-05
406,3.45E-05
406,3.66E-05
406,3.33E-05
406,3.40E-05
406,5.27E-05
406,3.39E-05
406,3.33E-05
491,3.49E-05
491,3.33E-05
491,3.33E-05
491,3.30E-05
491,3.36E-05
491,3.33E-05
491,3.45E-05
491,3.30E-05
491,3.35E-05
491,3.32E-05
491,3.38E-05
491,3.54E-05
491,3.37E-05
491,3.32E-05
491,3.33E-05
491,3.31E-05
491,3.37E-05
491,3.36E-05
491,3.35E-05
491,3.32E-05
491,3.32E-05
491,4.72E-05
491,3.32E-05
491,3.30E-05
491,3.35E-05
491,3.33E-05
491,3.32E-05
491,3.30E-05
491,3.32E-05
491,3.33E-05
491,3.34E-05
491,4.83E-05
491,3.33E-05
491,3.31E-05
491,3.33E-05
491,3.34E-05
491,3.31E-05
491,3.43E-05
491,3.33E-05
491,4.40E-05
491,3.31E-05
491,3.41E-05
491,3.31E-05
491,3.33E-05
491,3.40E-05
491,3.34E-05
491,3.35E-05
491,3.31E-05
491,3.31E-05
491,3.31E-05
