epoch,fold1_run1,fold2_run1,fold3_run1,fold4_run1,fold5_run1,fold6_run1,fold7_run1
1,0.2354666143655777,0.3126460611820221,0.5781304240226746,0.27487871050834656,0.6524955034255981,0.45151790976524353,0.3911859393119812
2,0.18243955075740814,0.1560060977935791,0.14724786579608917,0.1746930181980133,0.22807081043720245,0.1981293261051178,0.180250346660614
3,0.15310800075531006,0.13701185584068298,0.13652083277702332,0.15132921934127808,0.15290455520153046,0.19141043722629547,0.14677824079990387
4,0.12268198281526566,0.1320757120847702,0.12800905108451843,0.14227968454360962,0.14655357599258423,0.15568605065345764,0.13860946893692017
5,0.11280878633260727,0.12348000705242157,0.11382574588060379,0.13892525434494019,0.12399981170892715,0.1257672905921936,0.13511916995048523
6,0.09544764459133148,0.12464525550603867,0.10570835322141647,0.13653649389743805,0.10343572497367859,0.11503665894269943,0.13564646244049072
7,0.09143102169036865,0.12017349898815155,0.1119035929441452,0.115995854139328,0.1027243509888649,0.09906339645385742,0.11827172338962555
8,0.09515430778265,0.10970664024353027,0.09978225082159042,0.10828366875648499,0.09805553406476974,0.09958808124065399,0.11681569367647171
9,0.08323336392641068,0.10381617397069931,0.09668917208909988,0.10165254771709442,0.09359823167324066,0.08985771983861923,0.10705261677503586
10,0.0796288549900055,0.1021953597664833,0.09457368403673172,0.09711159020662308,0.09001012146472931,0.08365598320960999,0.09195347130298615
11,0.07555331289768219,0.10118924826383591,0.0859208032488823,0.08760962635278702,0.08290544152259827,0.07864753901958466,0.08406563103199005
12,0.0761001706123352,0.10128479450941086,0.08504880964756012,0.08382725715637207,0.08475746959447861,0.07556276023387909,0.08633004128932953
13,0.07357742637395859,0.10699507594108582,0.08125492185354233,0.0786055326461792,0.08059738576412201,0.07228067517280579,0.08402062952518463
14,0.0745161697268486,0.10839665681123734,0.07291072607040405,0.07735121250152588,0.07808638364076614,0.07406368851661682,0.08344472944736481
15,0.07254894077777863,0.0864008292555809,0.07976826280355453,0.07377041131258011,0.08123154938220978,0.0758928507566452,0.09136832505464554
16,0.07108248025178909,0.09139128774404526,0.07189002633094788,0.07590929418802261,0.07431897521018982,0.07157906144857407,0.08626998960971832
17,0.07207267731428146,0.08696792274713516,0.06627804785966873,0.06617570668458939,0.07043018192052841,0.06123397499322891,0.07971826940774918
18,0.07038448750972748,0.08771669864654541,0.06658848375082016,0.07440945506095886,0.07573135942220688,0.05967377498745918,0.08292119204998016
19,0.0736720860004425,0.07639962434768677,0.07127793878316879,0.06866242736577988,0.07131602615118027,0.06550771743059158,0.07546655088663101
20,0.06340490281581879,0.0748305544257164,0.07006572186946869,0.07118519395589828,0.07405579835176468,0.05812579393386841,0.07375108450651169
21,0.06941339373588562,0.07259925454854965,0.056095123291015625,0.05973171815276146,0.06545346230268478,0.05648886412382126,0.07080195844173431
22,0.06673389673233032,0.07290732860565186,0.05280521139502525,0.0594407394528389,0.05772078409790993,0.05506884306669235,0.0717409998178482
23,0.06026407703757286,0.07310062646865845,0.05257983133196831,0.056077539920806885,0.0669369101524353,0.05414875969290733,0.07331029325723648
24,0.06316929310560226,0.06990612298250198,0.05399956926703453,0.05830476060509682,0.06225232034921646,0.0608208104968071,0.06590751558542252
25,0.06491173803806305,0.06632763892412186,0.05319857597351074,0.06267879903316498,0.061129629611968994,0.060801912099123,0.07284583896398544
26,0.06376515328884125,0.07044869661331177,0.053516414016485214,0.05705917254090309,0.05421923100948334,0.06513941287994385,0.06961666792631149
27,0.057572003453969955,0.06858091801404953,0.04898356273770332,0.04885002225637436,0.05576936900615692,0.046767912805080414,0.07044920325279236
28,0.05074416473507881,0.0702739953994751,0.043328166007995605,0.04809742048382759,0.054444581270217896,0.04429894685745239,0.059638023376464844
29,0.05355255678296089,0.06560901552438736,0.04783163219690323,0.04454097896814346,0.05417162925004959,0.046784039586782455,0.05665762722492218
30,0.0570036917924881,0.06554079055786133,0.04520168527960777,0.045870598405599594,0.05604788661003113,0.04538888856768608,0.05473620444536209
31,0.05159364640712738,0.06605949252843857,0.04545795917510986,0.04468952864408493,0.0538175143301487,0.04766777530312538,0.05905310437083244
32,0.0463937483727932,0.06671377271413803,0.041408006101846695,0.045560210943222046,0.052401311695575714,0.039138756692409515,0.056138407438993454
33,0.04567791521549225,0.0628703162074089,0.04189152643084526,0.039944592863321304,0.052035994827747345,0.03713752701878548,0.05982181802392006
34,0.04621855914592743,0.0630752444267273,0.041394155472517014,0.04018615931272507,0.055296145379543304,0.03794942423701286,0.04728610813617706
35,0.04471753537654877,0.062411826103925705,0.04118046909570694,0.03959032893180847,0.053684916347265244,0.036487214267253876,0.045163873583078384
36,0.04543204605579376,0.06209149956703186,0.04161515831947327,0.037656400352716446,0.05138097330927849,0.03778427094221115,0.05066528916358948
37,0.04562653228640556,0.06381014734506607,0.040396060794591904,0.03627002611756325,0.05121742561459541,0.036246322095394135,0.04506611078977585
38,0.04470293968915939,0.0618225559592247,0.040049079805612564,0.03690538555383682,0.05019536241889,0.037740547209978104,0.046847883611917496
39,0.045361556112766266,0.062671959400177,0.0421050526201725,0.03875262662768364,0.04942416772246361,0.03780651092529297,0.04478728026151657
40,0.04434969648718834,0.06127925217151642,0.040098439902067184,0.037649884819984436,0.05174769461154938,0.036082979291677475,0.04824337363243103
41,0.04591286927461624,0.060434740036726,0.038489460945129395,0.034543126821517944,0.04956613853573799,0.03564884886145592,0.044447652995586395
42,,0.060709744691848755,0.04048462212085724,0.03404964506626129,0.050541866570711136,0.03547772392630577,0.04654986783862114
43,,0.06014057993888855,0.040301721543073654,0.03380972892045975,0.046299710869789124,0.03544476255774498,0.04523951932787895
44,,0.060913749039173126,0.03864850103855133,0.03431889787316322,0.04496007412672043,0.03488031029701233,0.04221021756529808
45,,0.05992189794778824,0.036778293550014496,0.03455280140042305,0.04486633837223053,,0.04194708541035652
46,,0.06104899197816849,0.03762584179639816,0.03411722928285599,0.0448228158056736,,0.04027116298675537
47,,0.06074555218219757,0.03675650432705879,0.03216257318854332,0.04549592733383179,,0.040776386857032776
48,,0.06073901429772377,0.037361785769462585,0.03199291601777077,0.045750610530376434,,0.0395229272544384
49,,0.05676836147904396,0.03665512055158615,0.032216936349868774,0.042918674647808075,,0.04048917070031166
50,,0.05718330293893814,0.037898942828178406,0.03176324814558029,0.04325134679675102,,0.0379466749727726
51,,0.0580640509724617,0.03621317818760872,0.032393310219049454,0.04426520690321922,,0.03812757879495621
52,,0.056602757424116135,0.03689855709671974,0.03195345029234886,0.043458856642246246,,0.039664480835199356
53,,0.05679089576005936,0.035982873290777206,0.031062409281730652,0.04189564287662506,,0.03671935200691223
54,,0.056406594812870026,0.03592454269528389,0.03160630911588669,0.04127773642539978,,0.03909701853990555
55,,0.05728619173169136,0.036954671144485474,0.03151165693998337,0.040767867118120193,,0.03960196301341057
56,,0.05652960389852524,0.03583153337240219,0.0315682515501976,0.04096895828843117,,0.03583851084113121
57,,0.055884890258312225,0.03720628097653389,0.031290408223867416,0.041614215821027756,,0.04019644111394882
58,,0.055553365498781204,0.036348629742860794,0.030756352469325066,0.04160037636756897,,0.03656819090247154
59,,0.0565069280564785,0.036358047276735306,0.030857155099511147,0.03945884853601456,,0.03734458237886429
60,,0.05613822489976883,0.03433936461806297,0.031000426039099693,0.039500948041677475,,0.03286219760775566
61,,0.056078117340803146,0.034283675253391266,0.031155122444033623,0.04111497476696968,,0.03183141350746155
62,,0.05424395576119423,0.034756410866975784,0.03050573170185089,0.039537061005830765,,0.031413640826940536
63,,0.05558553710579872,0.03466741740703583,0.03151528909802437,0.03900320082902908,,0.03295913711190224
64,,0.05474713444709778,0.034465476870536804,0.030555477365851402,0.03893471509218216,,0.03184967488050461
65,,0.0539151169359684,0.03375978767871857,0.03037489764392376,0.03872564062476158,,0.03314005583524704
66,,0.05465317890048027,0.0336659736931324,0.030480369925498962,0.03879500925540924,,0.030331788584589958
67,,0.05438084900379181,0.033759746700525284,0.03037976659834385,0.03862379491329193,,0.029628217220306396
68,,0.05423177406191826,0.033725760877132416,0.030206691473722458,0.03860503435134888,,0.02837665006518364
69,,0.05289505422115326,0.033734943717718124,0.031388040632009506,0.038588039577007294,,0.02864510379731655
70,,0.0535125806927681,0.03339434042572975,0.030304213985800743,,,0.029016628861427307
71,,0.05344776436686516,0.03335248678922653,0.03023439459502697,,,0.028318680822849274
72,,0.05320296436548233,0.03329009935259819,0.030368555337190628,,,0.02834959514439106
73,,0.05273429676890373,0.03330540284514427,0.030876565724611282,,,0.028472937643527985
74,,0.0526660718023777,0.03339504078030586,0.030102944001555443,,,0.028841396793723106
75,,0.05269662290811539,0.03402027487754822,,,,0.027342012152075768
76,,0.05229949951171875,0.03311824053525925,,,,0.027791611850261688
77,,0.05250277742743492,0.03320442512631416,,,,0.026852523908019066
78,,0.053107861429452896,0.033143240958452225,,,,0.027222195640206337
79,,0.05250798910856247,0.03311300650238991,,,,0.02698638290166855
80,,0.05234026908874512,0.03307479992508888,,,,0.027371427044272423
81,,0.052374400198459625,0.03310682624578476,,,,0.026326216757297516
82,,0.052288200706243515,,,,,0.02612030692398548
83,,0.052331503480672836,,,,,0.026142923161387444
84,,0.052840836346149445,,,,,0.026295386254787445
85,,0.05256158486008644,,,,,
86,,0.052331458777189255,,,,,
87,,0.052261680364608765,,,,,
88,,0.05244160816073418,,,,,
89,,0.05227091163396835,,,,,
90,,0.05227010324597359,,,,,
91,,0.05232386291027069,,,,,
92,,0.0521828792989254,,,,,
93,,0.05214184522628784,,,,,
94,,0.052133724093437195,,,,,
95,,0.05253925174474716,,,,,
96,,0.05210639908909798,,,,,
97,,0.053014907985925674,,,,,
